===================================================================
Database Table Analysis Report
Generated: Sat Nov  8 09:13:21 PST 2025
Total databases: 10
Total tables: 646
===================================================================

Database                       | Table                          | Size         | Rows         | Engine  
onestopshop_db                 | paypal_settlement_report_row   | 32.0KB       | 0            | mysql   
onestopshop_db                 | paypal_payment_transaction     | 32.0KB       | 0            | mysql   
onestopshop_db                 | paypal_cert                    | 32.0KB       | 0            | mysql   
onestopshop_db                 | paypal_billing_agreement_order | 32.0KB       | 0            | mysql   
onestopshop_db                 | oauth_token_request_log        | 32.0KB       | 0            | mysql   
onestopshop_db                 | newsletter_queue               | 32.0KB       | 0            | mysql   
onestopshop_db                 | newsletter_queue_store_link    | 32.0KB       | 0            | mysql   
onestopshop_db                 | media_content_asset            | 32.0KB       | 0            | mysql   
onestopshop_db                 | magento_login_as_customer_log  | 32.0KB       | 0            | mysql   
onestopshop_db                 | magento_acknowledged_bulk      | 32.0KB       | 0            | mysql   
onestopshop_db                 | login_as_customer              | 32.0KB       | 0            | mysql   
onestopshop_db                 | layout_update                  | 32.0KB       | 0            | mysql   
onestopshop_db                 | inventory_stock_sales_channel  | 32.0KB       | 0            | mysql   
onestopshop_db                 | inventory_source_carrier_link  | 32.0KB       | 0            | mysql   
onestopshop_db                 | indexer_state                  | 32.0KB       | 11           | mysql   
onestopshop_db                 | googleoptimizer_code           | 32.0KB       | 0            | mysql   
onestopshop_db                 | flag                           | 32.0KB       | 0            | mysql   
onestopshop_db                 | eav_form_type_entity           | 32.0KB       | 6            | mysql   
onestopshop_db                 | eav_form_fieldset              | 32.0KB       | 0            | mysql   
onestopshop_db                 | eav_form_fieldset_label        | 32.0KB       | 0            | mysql   
onestopshop_db                 | eav_entity_type                | 32.0KB       | 8            | mysql   
onestopshop_db                 | eav_attribute_option           | 32.0KB       | 3            | mysql   
onestopshop_db                 | downloadable_sample            | 32.0KB       | 0            | mysql   
onestopshop_db                 | downloadable_link              | 32.0KB       | 0            | mysql   
onestopshop_db                 | directory_currency_rate        | 32.0KB       | 4            | mysql   
onestopshop_db                 | directory_country_format       | 32.0KB       | 0            | mysql   
onestopshop_db                 | design_change                  | 32.0KB       | 0            | mysql   
onestopshop_db                 | customer_log                   | 32.0KB       | 24           | mysql   
onestopshop_db                 | customer_group_excluded_web... | 32.0KB       | 0            | mysql   
onestopshop_db                 | customer_form_attribute        | 32.0KB       | 84           | mysql   
onestopshop_db                 | customer_eav_attribute         | 32.0KB       | 44           | mysql   
onestopshop_db                 | customer_eav_attribute_website | 32.0KB       | 26           | mysql   
onestopshop_db                 | customer_address_entity        | 32.0KB       | 26           | mysql   
onestopshop_db                 | core_config_data               | 32.0KB       | 56           | mysql   
onestopshop_db                 | cms_page_store                 | 32.0KB       | 4            | mysql   
onestopshop_db                 | cms_block_store                | 32.0KB       | 0            | mysql   
onestopshop_db                 | checkout_agreement_store       | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalogrule                    | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalogrule_website            | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalogrule_customer_group     | 32.0KB       | 0            | mysql   
onestopshop_db                 | cataloginventory_stock         | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_super_attri... | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_relation       | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_link_attribute | 32.0KB       | 5            | mysql   
onestopshop_db                 | catalog_product_index_website  | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_entity_medi... | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_bundle_sele... | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_bundle_option  | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_bundle_opti... | 32.0KB       | 0            | mysql   
onestopshop_db                 | catalog_category_product_in... | 32.0KB       | 0            | mysql   
onestopshop_db                 | cache                          | 32.0KB       | 0            | mysql   
onestopshop_db                 | cache_tag                      | 32.0KB       | 0            | mysql   
onestopshop_db                 | braintree_transaction_details  | 32.0KB       | 0            | mysql   
onestopshop_db                 | adobe_user_profile             | 32.0KB       | 0            | mysql   
onestopshop_db                 | adobe_stock_creator            | 32.0KB       | 0            | mysql   
onestopshop_db                 | adobe_stock_category           | 32.0KB       | 0            | mysql   
onestopshop_db                 | admin_user                     | 32.0KB       | 0            | mysql   
onestopshop_db                 | admin_passwords                | 32.0KB       | 2            | mysql   
onestopshop_db                 | admin_analytics_usage_versi... | 32.0KB       | 0            | mysql   
northwind_db                   | products                       | 32.0KB       | 45           | mysql   
stalwart_db                    | v                              | 32.0KB       | 8            | postgres
stalwart_db                    | u                              | 32.0KB       | 2            | postgres
stalwart_db                    | t                              | 32.0KB       | 4            | postgres
stalwart_db                    | s                              | 32.0KB       | 14           | postgres
stalwart_db                    | p                              | 32.0KB       | 15           | postgres
stalwart_db                    | n                              | 32.0KB       | 2            | postgres
stalwart_db                    | l                              | 32.0KB       | 6            | postgres
stalwart_db                    | k                              | 32.0KB       | 6            | postgres
stalwart_db                    | j                              | 32.0KB       | 2            | postgres
stalwart_db                    | i                              | 32.0KB       | 36           | postgres
stalwart_db                    | g                              | 32.0KB       | 55           | postgres
stalwart_db                    | d                              | 32.0KB       | 106          | postgres
stalwart_db                    | c                              | 32.0KB       | 9            | postgres
stalwart_db                    | b                              | 32.0KB       | 32           | postgres
postmill_db                    | wiki_revisions                 | 32.0KB       | 0            | postgres
postmill_db                    | wiki_pages                     | 32.0KB       | 0            | postgres
postmill_db                    | user_bans                      | 32.0KB       | 0            | postgres
postmill_db                    | themes                         | 32.0KB       | 0            | postgres
postmill_db                    | moderators                     | 32.0KB       | 0            | postgres
postmill_db                    | messages                       | 32.0KB       | 0            | postgres
postmill_db                    | forum_tags                     | 32.0KB       | 0            | postgres
postmill_db                    | forum_subscriptions            | 32.0KB       | 0            | postgres
postmill_db                    | bans                           | 32.0KB       | 0            | postgres
miniflux_db                    | user_sessions                  | 32.0KB       | 0            | postgres
miniflux_db                    | integrations                   | 32.0KB       | 13           | postgres
miniflux_db                    | icons                          | 32.0KB       | 0            | postgres
miniflux_db                    | enclosures                     | 32.0KB       | 0            | postgres
miniflux_db                    | api_keys                       | 32.0KB       | 0            | postgres
gitea_db                       | topic                          | 32.0KB       | 0            | postgres
gitea_db                       | review_state                   | 32.0KB       | 0            | postgres
gitea_db                       | repo_transfer                  | 32.0KB       | 0            | postgres
gitea_db                       | repo_archiver                  | 32.0KB       | 0            | postgres
gitea_db                       | push_mirror                    | 32.0KB       | 0            | postgres
gitea_db                       | pull_auto_merge                | 32.0KB       | 0            | postgres
gitea_db                       | public_key                     | 32.0KB       | 0            | postgres
gitea_db                       | project_issue                  | 32.0KB       | 0            | postgres
gitea_db                       | project_board                  | 32.0KB       | 0            | postgres
gitea_db                       | oauth2_authorization_code      | 32.0KB       | 0            | postgres
gitea_db                       | lfs_lock                       | 32.0KB       | 0            | postgres
gitea_db                       | issue_user                     | 32.0KB       | 0            | postgres
gitea_db                       | hook_task                      | 32.0KB       | 0            | postgres
gitea_db                       | gpg_key                        | 32.0KB       | 0            | postgres
gitea_db                       | external_login_user            | 32.0KB       | 0            | postgres
gitea_db                       | app_state                      | 32.0KB       | 1            | postgres
gitea_db                       | action_variable                | 32.0KB       | 0            | postgres
gitea_db                       | action_task_output             | 32.0KB       | 0            | postgres
gitea_db                       | action_schedule                | 32.0KB       | 0            | postgres
gitea_db                       | action_schedule_spec           | 32.0KB       | 0            | postgres
gitea_db                       | action_runner_token            | 32.0KB       | 0            | postgres
focalboard_db                  | users                          | 32.0KB       | 1            | postgres
focalboard_db                  | teams                          | 32.0KB       | 1            | postgres
focalboard_db                  | system_settings                | 32.0KB       | 4            | postgres
focalboard_db                  | sessions                       | 32.0KB       | 0            | postgres
focalboard_db                  | schema_migrations              | 32.0KB       | 40           | postgres
focalboard_db                  | preferences                    | 32.0KB       | 0            | postgres
auth_db                        | hydra_oauth2_logout_request    | 32.0KB       | 0            | postgres
postmill_db                    | submissions_flairs             | 24.0KB       | 0            | postgres
postmill_db                    | message_thread_participants    | 24.0KB       | 0            | postgres
postmill_db                    | hidden_forums                  | 24.0KB       | 0            | postgres
postmill_db                    | forums_tags                    | 24.0KB       | 0            | postgres
postmill_db                    | css_theme_revisions            | 24.0KB       | 0            | postgres
postmill_db                    | bad_phrases                    | 24.0KB       | 0            | postgres
miniflux_db                    | webauthn_credentials           | 24.0KB       | 0            | postgres
gitea_db                       | version                        | 24.0KB       | 1            | postgres
gitea_db                       | user_redirect                  | 24.0KB       | 0            | postgres
gitea_db                       | user_open_id                   | 24.0KB       | 0            | postgres
gitea_db                       | user_blocking                  | 24.0KB       | 0            | postgres
gitea_db                       | tracked_time                   | 24.0KB       | 0            | postgres
gitea_db                       | stopwatch                      | 24.0KB       | 0            | postgres
gitea_db                       | star                           | 24.0KB       | 0            | postgres
gitea_db                       | repo_redirect                  | 24.0KB       | 0            | postgres
gitea_db                       | renamed_branch                 | 24.0KB       | 0            | postgres
gitea_db                       | protected_branch               | 24.0KB       | 0            | postgres
gitea_db                       | package_blob_upload            | 24.0KB       | 0            | postgres
gitea_db                       | notice                         | 24.0KB       | 0            | postgres
gitea_db                       | issue_assignees                | 24.0KB       | 0            | postgres
gitea_db                       | follow                         | 24.0KB       | 0            | postgres
gitea_db                       | dbfs_meta                      | 24.0KB       | 0            | postgres
gitea_db                       | dbfs_data                      | 24.0KB       | 0            | postgres
gitea_db                       | commit_status_index            | 24.0KB       | 0            | postgres
gitea_db                       | badge                          | 24.0KB       | 0            | postgres
gitea_db                       | action_tasks_version           | 24.0KB       | 0            | postgres
focalboard_db                  | category_boards                | 24.0KB       | 0            | postgres
auth_db                        | networks                       | 24.0KB       | 1            | postgres
auth_db                        | hydra_oauth2_obfuscated_aut... | 24.0KB       | 0            | postgres
vwa-classifieds_db             | oc_t_widget                    | 16.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_user_email_tmp            | 16.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_site                      | 16.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_pages                     | 16.0KB       | 23           | mysql   
vwa-classifieds_db             | oc_t_meta_fields               | 16.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_log                       | 16.0KB       | 44           | mysql   
vwa-classifieds_db             | oc_t_latest_searches           | 16.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_cron                      | 16.0KB       | 6            | mysql   
vwa-classifieds_db             | oc_t_category_stats            | 16.0KB       | 23           | mysql   
vwa-classifieds_db             | oc_t_ban_rule                  | 16.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_alerts                    | 16.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_alerts_sent               | 16.0KB       | 0            | mysql   
onestopshop_db                 | theme                          | 16.0KB       | 3            | mysql   
onestopshop_db                 | tax_class                      | 16.0KB       | 2            | mysql   
onestopshop_db                 | setup_module                   | 16.0KB       | 4            | mysql   
onestopshop_db                 | session                        | 16.0KB       | 0            | mysql   
onestopshop_db                 | sequence_shipment_1            | 16.0KB       | 0            | mysql   
onestopshop_db                 | sequence_shipment_0            | 16.0KB       | 0            | mysql   
onestopshop_db                 | sequence_order_1               | 16.0KB       | 189          | mysql   
onestopshop_db                 | sequence_order_0               | 16.0KB       | 0            | mysql   
onestopshop_db                 | sequence_invoice_1             | 16.0KB       | 0            | mysql   
onestopshop_db                 | sequence_invoice_0             | 16.0KB       | 0            | mysql   
onestopshop_db                 | sequence_creditmemo_1          | 16.0KB       | 0            | mysql   
onestopshop_db                 | sequence_creditmemo_0          | 16.0KB       | 0            | mysql   
onestopshop_db                 | sales_order_status             | 16.0KB       | 12           | mysql   
onestopshop_db                 | sales_order_status_state       | 16.0KB       | 9            | mysql   
onestopshop_db                 | review_status                  | 16.0KB       | 3            | mysql   
onestopshop_db                 | review_entity                  | 16.0KB       | 3            | mysql   
onestopshop_db                 | reporting_users                | 16.0KB       | 0            | mysql   
onestopshop_db                 | reporting_system_updates       | 16.0KB       | 0            | mysql   
onestopshop_db                 | reporting_orders               | 16.0KB       | 0            | mysql   
onestopshop_db                 | reporting_module_status        | 16.0KB       | 0            | mysql   
onestopshop_db                 | reporting_counts               | 16.0KB       | 0            | mysql   
onestopshop_db                 | report_event_types             | 16.0KB       | 6            | mysql   
onestopshop_db                 | queue_poison_pill              | 16.0KB       | 0            | mysql   
onestopshop_db                 | patch_list                     | 16.0KB       | 175          | mysql   
onestopshop_db                 | login_as_customer_assistanc... | 16.0KB       | 0            | mysql   
onestopshop_db                 | jwt_auth_revoked               | 16.0KB       | 0            | mysql   
onestopshop_db                 | inventory_stock                | 16.0KB       | 0            | mysql   
onestopshop_db                 | inventory_source               | 16.0KB       | 0            | mysql   
onestopshop_db                 | inventory_shipment_source      | 16.0KB       | 0            | mysql   
onestopshop_db                 | inventory_pickup_location_q... | 16.0KB       | 0            | mysql   
onestopshop_db                 | inventory_pickup_location_o... | 16.0KB       | 0            | mysql   
onestopshop_db                 | inventory_order_notification   | 16.0KB       | 0            | mysql   
onestopshop_db                 | inventory_geoname              | 16.0KB       | 0            | mysql   
onestopshop_db                 | importexport_importdata        | 16.0KB       | 0            | mysql   
onestopshop_db                 | import_history                 | 16.0KB       | 0            | mysql   
onestopshop_db                 | gift_message                   | 16.0KB       | 0            | mysql   
onestopshop_db                 | directory_country              | 16.0KB       | 249          | mysql   
onestopshop_db                 | customer_group                 | 16.0KB       | 4            | mysql   
onestopshop_db                 | checkout_agreement             | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_link_type      | 16.0KB       | 4            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 16.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_bundle_stoc... | 16.0KB       | 0            | mysql   
onestopshop_db                 | captcha_log                    | 16.0KB       | 0            | mysql   
onestopshop_db                 | admin_user_expiration          | 16.0KB       | 0            | mysql   
onestopshop_db                 | admin_system_messages          | 16.0KB       | 0            | mysql   
northwind_db                   | strings                        | 16.0KB       | 62           | mysql   
northwind_db                   | sales_reports                  | 16.0KB       | 5            | mysql   
northwind_db                   | purchase_order_status          | 16.0KB       | 4            | mysql   
northwind_db                   | privileges                     | 16.0KB       | 0            | mysql   
northwind_db                   | orders_tax_status              | 16.0KB       | 2            | mysql   
northwind_db                   | orders_status                  | 16.0KB       | 4            | mysql   
northwind_db                   | order_details_status           | 16.0KB       | 6            | mysql   
northwind_db                   | inventory_transaction_types    | 16.0KB       | 4            | mysql   
stalwart_db                    | x                              | 16.0KB       | 0            | postgres
stalwart_db                    | w                              | 16.0KB       | 0            | postgres
stalwart_db                    | r                              | 16.0KB       | 0            | postgres
stalwart_db                    | q                              | 16.0KB       | 0            | postgres
stalwart_db                    | o                              | 16.0KB       | 0            | postgres
stalwart_db                    | h                              | 16.0KB       | 0            | postgres
stalwart_db                    | f                              | 16.0KB       | 0            | postgres
stalwart_db                    | e                              | 16.0KB       | 0            | postgres
stalwart_db                    | a                              | 16.0KB       | 0            | postgres
postmill_db                    | flairs                         | 16.0KB       | 0            | postgres
miniflux_db                    | schema_version                 | 16.0KB       | 1            | postgres
miniflux_db                    | acme_cache                     | 16.0KB       | 0            | postgres
gitea_db                       | user_badge                     | 16.0KB       | 0            | postgres
gitea_db                       | upload                         | 16.0KB       | 0            | postgres
gitea_db                       | session                        | 16.0KB       | 0            | postgres
gitea_db                       | repo_indexer_status            | 16.0KB       | 0            | postgres
gitea_db                       | protected_tag                  | 16.0KB       | 0            | postgres
gitea_db                       | issue_watch                    | 16.0KB       | 0            | postgres
gitea_db                       | issue_pin                      | 16.0KB       | 0            | postgres
gitea_db                       | issue_label                    | 16.0KB       | 0            | postgres
gitea_db                       | issue_index                    | 16.0KB       | 0            | postgres
gitea_db                       | issue_dependency               | 16.0KB       | 0            | postgres
gitea_db                       | gpg_key_import                 | 16.0KB       | 0            | postgres
gitea_db                       | action_run_index               | 16.0KB       | 0            | postgres
focalboard_db                  | subscriptions                  | 16.0KB       | 0            | postgres
focalboard_db                  | file_info                      | 16.0KB       | 6            | postgres
auth_db                        | hydra_oauth2_jti_blacklist     | 16.0KB       | 0            | postgres
auth_db                        | hydra_oauth2_authentication... | 16.0KB       | 0            | postgres
postmill_db                    | message_threads                | 8.0KB        | 0            | postgres
miniflux_db                    | feed_icons                     | 8.0KB        | 0            | postgres
gitea_db                       | repo_topic                     | 8.0KB        | 0            | postgres
focalboard_db                  | sharing                        | 8.0KB        | 0            | postgres
focalboard_db                  | notification_hints             | 8.0KB        | 0            | postgres
focalboard_db                  | db_lock                        | 8.0KB        | 0            | postgres
NULL                           |                                | 0.00GB       | 0            |         

Report generated by: db-table-stats.sh
